tick,human_x,human_y,zombie_x,zombie_y,status,reason
0,7,2,2,4,running,
1,7,1,2,3,running,
2,7,0,2,2,running,
3,8,0,2,1,running,
4,9,0,2,0,running,
5,9,1,3,0,running,
6,9,2,4,0,running,
7,9,3,5,0,running,
8,9,4,6,0,running,
9,9,5,7,0,running,
10,9,6,8,0,running,
11,9,6,9,0,running,
12,8,6,9,1,running,
13,7,6,9,2,running,
14,6,6,9,3,running,
15,5,6,9,4,running,
16,4,6,9,5,running,
17,3,6,9,6,running,
18,3,5,8,6,running,
19,3,4,8,5,running,
20,3,3,8,4,running,
21,3,2,8,3,running,
22,3,1,8,2,running,
23,3,0,8,1,running,
24,2,0,8,0,running,
25,2,1,7,0,running,
26,2,2,7,1,running,
27,2,3,7,2,running,
28,2,4,7,3,running,
29,2,5,7,4,running,
30,2,6,7,5,running,
31,1,6,7,6,running,
32,1,5,6,6,running,
33,1,4,6,5,running,
34,1,3,6,4,running,
35,1,2,6,3,running,
36,1,1,6,2,running,
37,1,0,6,1,running,
38,0,0,6,0,running,
39,0,1,5,0,running,
40,0,2,5,1,running,
41,0,3,5,2,running,
42,0,4,5,3,running,
43,0,5,5,4,running,
44,0,6,5,5,running,
45,0,6,5,6,running,
46,0,5,4,6,running,
47,0,4,4,5,running,
48,0,3,4,4,running,
49,0,2,4,3,running,
50,0,1,4,2,running,
51,0,0,4,1,running,
52,0,0,4,0,running,
53,0,1,3,0,running,
54,0,2,3,1,running,
55,0,3,3,2,running,
56,0,4,3,3,running,
57,0,5,3,4,running,
58,0,6,3,5,running,
59,0,6,3,6,running,
60,0,5,2,6,running,
61,0,4,2,5,running,
62,0,3,2,4,running,
63,0,2,2,3,running,
64,0,1,2,2,running,
65,0,0,2,1,running,
66,0,0,2,0,running,
67,0,1,1,0,running,
68,0,2,1,1,running,
69,0,3,1,2,running,
70,0,4,1,3,running,
71,0,5,1,4,running,
72,0,6,1,5,running,
73,0,6,1,6,caught,orthogonally adjacent
